IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
104.17.213.170,4,1,0.75,47.65,0.00,N/A
104.17.175.63,4,2,0.50,49.33,0.00,N/A
172.64.159.68,4,4,0.00,50.28,13.50,HKG
104.19.148.73,4,1,0.75,50.35,0.00,N/A
104.17.208.198,4,1,0.75,50.80,0.00,N/A
172.64.229.141,4,4,0.00,51.84,13.22,HKG
104.16.241.156,4,1,0.75,51.93,0.00,N/A
172.64.147.54,4,4,0.00,53.19,13.52,HKG
104.17.169.28,4,2,0.50,53.42,0.00,N/A
104.16.245.33,4,1,0.75,53.48,0.00,N/A
104.17.161.184,4,3,0.25,54.53,0.00,N/A
104.17.160.175,4,3,0.25,54.73,0.00,N/A
104.17.159.161,4,3,0.25,54.96,0.00,N/A
104.17.179.208,4,2,0.50,55.26,0.00,N/A
104.17.191.237,4,3,0.25,55.38,0.00,N/A
104.17.220.14,4,1,0.75,55.82,0.00,N/A
